,kernel,C,gamma,epsilon,MAE,MAPE,RMSE,R2
267,poly,0.001,0.1,1.0,122.41479695515915,63.887932199926865,131.4887023655896,-6.13410918644122
57,rbf,0.001,1,1.0,122.41490603749064,63.888199240322095,131.4889811446168,-6.134139437589665
561,sigmoid,0.1,1,1.0,122.88220706313493,64.25843463399883,131.49530496827126,-6.134825671891843
99,rbf,0.01,10,1.0,122.4233559939059,63.89314117538962,131.49749625087563,-6.135063468209397
530,sigmoid,0.01,10,0.1,122.50065763500622,63.94943229831691,131.49763806265668,-6.135078857652281
528,sigmoid,0.01,10,0.001,122.50065763500622,63.94943229831691,131.49763806265668,-6.135078857652281
529,sigmoid,0.01,10,0.01,122.50065763500622,63.94943229831691,131.49763806265668,-6.135078857652281
51,rbf,0.001,0.1,1.0,122.4303645049001,63.89683848252628,131.50300538563752,-6.135661332818439
483,sigmoid,0.001,0.1,1.0,122.43754567453544,63.900814753645584,131.50979075854497,-6.136397732296099
513,sigmoid,0.01,0.01,1.0,122.44136900494902,63.90296803044448,131.51327660857376,-6.136776057617571
543,sigmoid,0.1,0.001,1.0,122.4414183565139,63.90299561875421,131.51332181607893,-6.13678096413202
495,sigmoid,0.001,10,1.0,122.46199411068594,63.91541153121669,131.52758798790094,-6.138329401421154
501,sigmoid,0.001,100,1.0,122.46308093521641,63.91594229379248,131.52879071461203,-6.1384599519593195
534,sigmoid,0.01,100,0.001,122.53489319027376,63.96766022391671,131.5323149837538,-6.138842502289779
536,sigmoid,0.01,100,0.1,122.53489319027376,63.96766022391671,131.5323149837538,-6.138842502289779
535,sigmoid,0.01,100,0.01,122.53489319027376,63.96766022391671,131.5323149837538,-6.138842502289779
489,sigmoid,0.001,1,1.0,122.46953140822868,63.9191205298549,131.53711542418438,-6.13936359421363
81,rbf,0.01,0.01,1.0,122.47317388197494,63.92090050674396,131.54258214203782,-6.139957034282959
111,rbf,0.1,0.001,1.0,122.48244048193209,63.92610046663953,131.55115976706637,-6.140888228881043
141,rbf,0.1,100,1.0,122.51845037800175,63.946122465597895,131.59055721032829,-6.145166030257119
405,poly,10.0,0.01,1.0,122.55444437158728,63.9659399104257,131.61703889937928,-6.14804215006776
303,poly,0.01,0.1,1.0,122.55444437173517,63.96593991050763,131.61703889952264,-6.148042150083331
93,rbf,0.01,1,1.0,122.55553519505008,63.968610314459994,131.61974477198774,-6.148336061713845
135,rbf,0.1,10,1.0,122.64003475920303,64.01802966513542,131.70492822966577,-6.157591770695763
126,rbf,0.1,1,0.001,122.74045988824035,64.09405158638683,131.74245983709258,-6.161671712187815
127,rbf,0.1,1,0.01,122.74920089543463,64.09882703344061,131.7508158487233,-6.16258022581393
87,rbf,0.01,0.1,1.0,122.71011986914472,64.05500273650179,131.76007346841482,-6.163586834735964
171,rbf,1.0,10,1.0,122.72214910516767,64.10026656040777,131.76058552310792,-6.163642514052
177,rbf,1.0,100,1.0,122.69452939664536,64.0512224598607,131.7670063155094,-6.164340710435309
174,rbf,1.0,100,0.001,122.7140914574554,64.06191355831342,131.783372272671,-6.166120497014093
175,rbf,1.0,100,0.01,122.71887326790544,64.064562655223,131.78800948888403,-6.166624831274884
524,sigmoid,0.01,1,0.1,122.78817577958317,64.10411465084957,131.79856018961198,-6.1677723702783425
